PopulationId,OneIns,MoreIns,NoIns
496,4536,1521,405
497,3781,653,343
498,4051,1065,275
499,3272,936,745
500,4018,988,492
501,2551,827,86
502,4547,1097,1817
503,1353,621,399
504,4764,986,1084
505,4057,798,934
506,5710,1212,638
507,5957,1432,696
508,2659,849,443
509,2624,737,317
510,4036,1422,418
511,3054,571,328
512,4616,1269,1332
513,3757,753,188
514,5750,1449,235
515,2364,675,282
516,3076,311,1673
517,4571,565,2361
518,2924,454,728
519,3592,204,2257
520,2772,398,232
521,5582,954,985
522,4340,996,292
523,3319,755,679
524,3019,554,144
525,2616,696,133
526,3701,649,450
527,4489,1136,442
528,2025,746,201
529,4588,1353,159
530,2402,398,571
531,4606,949,511
532,4328,677,716
533,5465,1196,530
534,3667,825,617
535,3630,649,656
536,3444,1001,138
537,3144,702,187
538,4367,776,396
539,3198,475,160
540,3287,1273,271
541,5214,1284,205
542,6030,803,324
543,4491,504,460
544,5872,614,293
545,3666,578,91
546,4726,1557,234
547,4884,690,249
548,2510,307,80
549,6942,1030,331
550,5074,1183,98
551,3140,601,70
552,2836,592,75
553,4580,825,55
554,5384,1462,372
555,3011,667,54
556,6415,1047,98
557,4974,1119,158
558,3506,1016,141
559,3893,874,218
560,5110,787,381
561,524,1897,48
562,1268,2223,62
563,393,1567,2
564,4725,993,64
565,2272,590,551
566,4783,910,70
567,4578,987,195
568,1706,540,221
569,3081,562,83
570,3228,756,231
571,1558,299,47
572,4898,1263,140
573,3843,745,488
574,11392,1426,1018
575,5856,1110,1000
576,3125,245,553
577,5589,679,569
578,3712,1187,67
579,3897,699,68
580,9474,1292,239
581,4126,377,824
582,6453,379,114
583,6564,506,61
584,6329,618,934
585,6578,885,426
586,2750,708,140
587,6112,1478,364
588,3823,1042,98
589,2972,733,500
590,4478,826,287
591,2514,552,284
592,4187,767,759
593,3700,1167,917
594,3676,742,439
595,1415,174,286
596,3589,563,390
597,4186,1472,313
598,5392,1260,536
599,3687,687,407
600,3637,982,655
601,3177,891,320
602,3566,640,632
603,3571,587,533
604,1844,702,423
605,5236,1169,707
606,3336,840,1079
607,3537,720,1768
608,3290,525,1149
609,3211,492,783
610,3727,479,1726
611,3479,771,658
612,3777,696,651
613,3375,396,1387
614,2069,161,781
615,4386,920,1496
616,1769,335,397
617,1898,481,363
618,4214,631,849
619,4759,705,1937
620,2581,347,695
621,3240,467,935
622,3045,329,1450
623,3171,1053,1744
624,5032,598,1169
625,1993,775,323
626,3829,605,1745
627,4456,743,699
628,4556,796,1744
629,4444,933,1594
630,3531,617,879
631,2928,757,135
632,1959,603,106
633,1016,212,37
634,2178,522,742
635,2035,402,315
636,2166,295,445
637,1563,272,235
638,1116,130,334
639,1626,480,138
640,1170,446,71
641,1920,557,98
642,2132,530,56
643,7360,1422,1804
644,2238,485,177
645,0,0,0
646,2734,733,438
647,2325,870,493
648,1490,604,335
649,4301,1490,852
650,2169,833,360
651,2199,619,459
652,717,259,252
653,0,0,0
654,3082,565,979
655,1534,389,272
656,1624,422,597
657,2814,706,665
658,2156,577,736
659,1775,447,107
660,1880,406,243
661,1579,322,387
662,3969,885,291
663,3461,1597,1421
664,2204,628,260
665,5256,907,377
666,4811,1272,349
667,4481,948,194
668,4360,452,147
669,4374,934,136
670,3466,565,254
671,5552,1446,293
672,4508,1550,749
673,3468,600,152
674,5984,1158,270
675,2071,360,121
676,2131,481,460
677,2287,519,178
678,3665,838,284
679,3311,1170,882
680,3605,1307,612
681,3467,864,320
682,2454,894,218
683,2941,1325,575
684,3141,1152,814
685,1649,437,235
686,1632,402,319
687,3459,1337,670
688,4001,1513,904
