Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
295,4162,63,3,41,13,0
113,4108,26,0,87,0,0
341,4524,14,20,0,0,0
528,4112,42,66,24,0,0
586,3168,299,35,772,0,0
217,1889,48,32,18,0,0
133,3189,31,4,66,0,0
500,4006,15,184,299,0,0
703,2407,280,79,147,0,0
246,2011,3,15,677,22,35
658,1683,62,116,841,0,0
858,1979,11,19,567,18,0
356,3384,158,98,230,11,0
1145,2565,13,59,9,0,0
595,3173,149,121,101,0,2
1024,1589,47,3,150,19,0
989,1771,8,10,127,17,0
2490,1899,0,18,54,0,0
1004,2009,6,19,138,11,0
458,3376,0,60,762,0,0
541,4388,18,0,101,0,0
556,3614,0,23,15,0,0
366,3588,31,2,0,0,0
1008,8555,31,120,198,0,0
994,4065,2,60,17,25,0
793,4811,196,45,145,100,0
262,3174,2,67,14,0,0
311,3179,0,0,0,0,0
30,1467,0,0,23,0,0
40,393,0,7,0,6,0
3285,1723,0,20,62,0,0
2598,2185,113,142,75,0,0
4194,1786,14,57,37,0,0
738,1503,26,35,9,3,0
1340,987,27,20,100,16,0
830,2566,210,0,181,0,0
2677,2889,448,45,460,31,0
1446,2056,57,0,205,0,0
2427,2294,550,86,316,23,0
3392,3108,866,231,970,0,0
1895,1463,1421,34,1158,0,0
3247,5758,378,48,715,18,115
2899,3264,527,0,1136,1,0
4103,4876,502,63,369,6,0
2319,4501,1637,23,1027,36,0
1156,5259,46,0,620,56,0
1624,5196,801,0,906,0,0
1834,2640,168,0,61,0,25
1544,5474,41,0,587,0,0
758,2330,107,0,718,0,0
580,750,9,0,9,0,0
305,2995,361,0,132,0,0
475,3458,8,0,13,0,0
983,5150,124,24,272,53,95
2825,2185,996,67,121,0,0
888,1525,169,30,226,0,0
1883,2196,685,38,235,64,0
1258,962,553,0,73,0,0
1882,1826,392,10,121,0,0
3056,1742,234,13,43,0,0
1493,926,469,19,166,16,44
1688,549,1208,0,237,150,0
1869,1478,486,13,120,0,0
2184,2251,1290,0,624,9,0
1954,3344,760,0,452,36,0
1131,1539,611,31,724,0,0
806,640,1317,15,216,30,0
3473,785,1153,0,440,134,18
2526,482,1022,6,789,131,15
948,291,804,13,142,0,0
2533,1845,1093,41,1237,168,144
923,1075,1399,0,276,0,0
2554,2136,1197,1,1391,224,37
1250,956,107,0,426,236,22
2514,1235,747,7,629,15,19
798,347,89,0,712,0,17
3464,677,1334,23,558,0,0
3056,929,504,42,708,0,0
3200,491,1172,2,684,78,0
3907,1441,1150,17,636,0,0
4858,856,175,0,483,0,0
468,1943,145,0,345,0,0
237,711,144,0,46,8,0
263,1472,292,21,242,17,0
560,2122,58,0,149,19,0
1599,5002,157,26,515,0,80
1598,1816,182,19,210,159,0
485,2156,37,0,275,0,0
1172,4279,79,19,534,28,0
1127,4511,343,4,585,63,67
1003,4457,3,0,836,0,0
509,3144,103,18,265,15,15
725,3029,141,0,1270,0,0
914,4210,140,15,779,0,0
704,3400,1,0,391,45,0
766,2808,150,4,1377,29,31
675,3302,171,0,627,0,0
855,4324,34,21,357,0,0
200,3018,67,0,126,0,12
3058,3586,55,69,426,21,113
422,1121,268,0,569,0,0
2082,3660,332,0,459,65,0
1714,3040,216,45,439,0,0
1491,4517,348,0,849,47,0
2544,4591,30,18,618,0,29
753,2457,109,0,546,23,7
520,2537,176,24,398,0,0
1379,3792,77,0,290,37,46
858,2245,233,5,522,0,8
1305,3855,444,45,1077,0,0
475,2703,119,5,996,0,55
972,5438,187,0,726,0,148
861,1878,89,9,312,0,0
2941,1040,327,0,569,0,0
4701,1059,558,0,989,0,4
2372,1175,0,0,410,0,34
3582,989,273,9,145,589,0
966,1866,64,1,450,0,7
1792,4312,411,102,941,43,0
709,3755,202,0,650,73,0
2033,2055,235,0,327,6,0
723,2215,61,0,506,29,0
359,2505,17,20,509,0,19
220,3296,110,0,814,0,0
319,4217,40,48,1198,0,0
325,2102,12,0,439,4,0
786,4256,157,18,530,0,16
663,1942,152,0,577,0,0
714,3886,486,11,888,0,0
955,3891,85,0,641,53,0
428,5674,0,0,787,0,0
379,3940,61,21,313,0,0
478,3818,38,0,523,1,0
730,3244,10,8,411,0,73
156,3375,12,7,313,13,0
731,3055,283,0,1410,0,0
501,2335,1,0,677,12,0
357,3163,8,0,882,0,6
605,5066,52,49,694,0,0
603,3854,211,30,2167,29,13
527,2149,74,0,2556,0,0
895,2613,83,0,3005,0,32
298,2997,166,26,772,0,0
378,5479,14,0,554,10,14
393,3405,25,33,1756,0,0
210,1691,2,6,794,0,95
594,5190,133,0,1870,51,47
238,5263,14,0,463,0,45
125,3638,0,0,6,15,0
169,2798,0,0,450,0,0
248,4540,45,6,481,21,0
170,6237,32,0,459,0,0
140,3265,1,0,327,0,0
570,5548,18,0,1214,0,0
507,4658,81,1,677,0,15
281,3757,12,0,362,0,18
700,3412,211,6,516,0,0
520,4384,378,0,674,0,0
46,2118,8,0,260,19,0
187,2849,15,23,556,0,0
335,1497,1,15,119,0,0
407,4592,0,0,615,0,18
307,2359,215,8,330,43,17
425,4349,24,0,764,0,0
510,4089,31,3,973,0,17
136,1832,53,0,373,0,0
44,2849,224,0,335,0,0
518,3079,34,1,495,0,0
41,1592,25,15,157,0,0
314,4840,5,40,667,0,87
1522,2192,432,0,683,78,0
3979,2784,3462,47,2586,235,66
2156,2605,1699,6,883,130,0
1142,761,978,73,490,0,0
1867,2304,1325,0,1036,0,111
344,4115,94,0,483,15,0
229,2874,137,0,1280,0,0
627,5059,310,0,4578,0,0
740,1383,585,26,2197,0,15
283,1160,60,29,4913,147,23
137,1553,87,21,5060,83,19
1647,1475,1006,0,3319,49,0
905,4831,399,111,951,0,235
119,2704,52,8,601,0,0
819,5858,192,44,690,23,0
452,4088,19,83,223,0,0
975,887,596,100,1373,0,128
873,1959,966,22,1392,82,38
691,2447,22,6,44,0,0
1115,2361,707,38,1179,0,30
1597,1458,817,61,1325,0,10
798,1669,681,0,1197,0,0
280,419,331,9,732,0,0
601,864,656,16,1775,42,0
1384,2634,324,0,1351,0,0
1225,1319,1632,0,2611,0,0
705,701,611,34,2482,11,0
1171,2086,654,0,1099,0,0
824,1630,293,0,1251,0,0
1042,1951,631,35,979,10,49
1032,1443,626,14,1103,170,57
643,1578,352,13,263,13,23
1768,2126,1484,0,1310,12,47
1879,1641,631,39,752,0,0
3645,226,1306,0,513,0,0
988,1054,1336,25,1303,0,0
2441,686,360,8,943,0,8
3583,417,925,5,739,69,9
1197,599,2076,0,938,0,0
2425,614,711,0,1303,0,0
4123,308,420,0,218,0,16
1898,359,225,37,412,9,0
2856,1237,1830,35,1070,0,0
859,745,535,15,186,0,5
440,1233,307,0,534,0,0
2089,1498,692,5,1099,22,45
4198,892,988,0,896,0,0
2771,81,463,28,282,8,0
2569,786,617,0,535,0,23
3888,153,595,20,82,0,23
3520,218,1576,0,491,18,0
4789,574,1020,11,231,44,37
501,2019,211,0,247,0,0
3613,133,2135,0,97,0,68
1381,1684,1657,0,956,110,73
3570,542,2529,0,257,0,128
2408,512,3008,0,761,147,0
461,2228,626,48,1310,13,0
378,2068,242,0,720,0,22
255,1483,204,0,539,0,0
67,630,47,26,461,0,0
629,1157,546,0,779,22,0
164,1539,232,0,764,10,0
390,1383,78,0,888,0,30
386,947,52,0,599,0,6
256,535,179,0,612,8,0
249,1311,105,0,418,0,16
61,1221,24,0,353,0,5
70,2082,24,0,286,0,0
112,1983,42,0,347,0,0
3663,2139,1973,88,2713,127,47
325,306,297,0,1715,0,0
0,0,0,0,0,0,0
350,3041,176,127,23,9,0
306,2795,18,306,0,0,0
468,1434,0,7,114,0,0
956,4534,116,284,285,5,18
2156,3124,622,70,133,18,2
758,2267,6,164,28,3,5
237,711,53,274,11,11,10
0,0,0,0,0,0,0
