HouseHoldId,Tot_Housing_Units_ACS_10_14,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
139,1784,1191,506,87,0
140,2275,1122,847,270,36
141,1499,543,635,321,0
142,1307,556,583,168,0
143,2599,427,828,1344,0
144,1426,525,413,473,15
145,1390,1070,262,58,0
146,912,418,363,101,30
147,768,252,347,169,0
148,1671,546,937,188,0
149,1056,538,438,80,0
150,1237,71,9,1105,52
151,1916,25,188,1703,0
152,1482,390,354,738,0
153,2031,303,505,1223,0
154,2188,2117,13,44,14
155,1727,1626,85,16,0
156,1474,1182,268,24,0
157,1716,1029,572,115,0
158,2042,1147,496,393,6
159,1888,371,321,1196,0
160,2404,1038,627,739,0
161,2148,1153,685,310,0
162,2256,690,1147,419,0
163,1433,298,747,360,0
164,2040,1317,599,124,0
165,2759,1730,537,481,11
166,2572,2507,16,49,0
167,2765,2597,58,110,0
168,1988,461,963,557,7
169,1567,310,309,948,0
170,1642,577,122,932,0
171,1472,790,418,264,0
172,2308,2247,23,0,38
173,914,864,30,13,7
174,2462,2430,17,0,15
175,1365,1340,0,25,0
176,757,745,0,0,12
177,2151,1525,332,294,0
178,2213,2052,118,43,0
179,1363,1221,142,0,0
180,2222,1664,101,315,142
181,1926,604,575,700,30
182,1219,563,141,351,157
183,1389,572,154,663,0
184,2648,1260,695,693,0
185,1500,1281,83,136,0
186,1766,1112,261,385,8
187,1738,1354,283,101,0
188,1853,1355,131,367,0
189,1529,1251,137,132,9
190,1498,1091,125,268,14
191,2995,988,605,1402,0
192,1083,825,50,141,42
193,1482,1311,163,8,0
194,1465,1385,22,48,10
195,1390,1039,237,90,17
196,1569,563,407,590,0
197,1936,654,364,711,197
198,2808,1193,543,1056,16
199,2241,2129,52,17,43
200,2374,1873,96,47,358
201,1425,1379,7,8,24
202,2173,1330,31,713,83
203,1061,658,229,170,4
204,2627,1625,435,489,64
205,2463,696,452,1278,37
206,1873,1027,368,411,51
207,1601,1205,107,285,4
208,2211,2124,38,49,0
209,2062,523,519,1006,14
210,1457,1402,51,0,4
211,1708,947,292,469,0
212,2090,853,498,739,0
213,1442,757,355,330,0
214,1666,1111,416,128,11
215,1674,1377,205,59,33
216,1468,1182,187,99,0
217,1688,1576,63,41,8
218,1714,1670,33,0,11
219,1471,1451,0,13,7
220,1838,1335,29,367,100
221,1303,594,375,292,34
222,2465,1611,553,288,13
223,3047,1878,410,759,0
224,1031,997,5,12,17
225,1800,509,582,700,9
226,1836,1177,280,379,0
227,1724,510,262,952,0
228,1084,837,95,145,7
229,1340,724,141,475,0
230,1882,1208,291,383,0
231,1242,944,151,127,20
232,1997,1785,17,8,187
233,1451,827,370,254,0
234,2379,1341,221,496,321
235,925,595,130,200,0
236,927,893,15,0,19
237,1177,415,425,337,0
238,928,647,117,164,0
239,1085,296,308,481,0
240,1088,243,572,267,6
