One_Health_Ins_ACS_10_14,Two_Plus_Health_Ins_ACS_10_14,No_Health_Ins_ACS_10_14
2361,389,325
3053,754,521
2391,525,599
1383,377,147
1739,534,285
3932,778,400
2472,755,235
6086,1376,380
2466,417,219
2579,321,284
2048,377,440
3882,654,444
4908,1016,685
2025,419,292
3150,1206,889
9034,1153,493
11006,1184,469
1538,458,464
4899,1452,1371
4120,981,875
2598,757,506
2614,1112,995
2723,806,301
3148,1026,365
3543,1506,1093
1583,798,293
3372,877,250
4657,1682,819
1479,181,169
1760,560,205
859,143,146
616,219,140
580,106,394
502,119,117
3418,613,261
3324,426,222
3671,326,738
3077,437,351
4727,461,323
2895,222,224
6495,733,204
4489,472,354
3152,498,623
3675,439,168
4248,670,424
1378,3061,58
945,2385,70
1147,2069,235
2350,542,345
0,0,0
3726,1022,596
834,481,114
613,286,89
2365,1079,1099
1784,477,404
1007,668,284
1039,839,312
813,100,227
1512,438,529
5473,742,1864
3023,561,815
1853,547,921
4149,546,2081
3042,574,960
1575,119,782
2230,97,1321
4232,805,183
2465,791,181
2020,642,350
4224,690,1654
5549,1010,963
2740,217,485
3813,1011,789
3034,319,1259
3271,469,729
4749,827,1104
1687,261,746
4723,583,1860
4709,816,1247
4591,814,1060
5474,954,2089
2975,317,1333
4035,504,1566
1892,339,586
1734,255,548
2796,273,936
3537,584,977
2541,420,1302
3042,428,843
4541,505,1481
2433,371,724
2518,141,1268
2154,266,926
5378,618,2237
5561,723,1464
2146,196,870
2872,228,1208
3830,595,1463
2222,249,631
3410,638,1119
4958,640,1936
4029,420,1971
2432,619,941
1427,190,708
3953,397,1309
1597,164,983
1964,285,877
6259,1159,1137
8413,579,1684
5620,803,694
10175,887,1700
6484,955,1740
6663,824,663
1802,268,178
2078,313,428
2439,393,316
2290,271,144
2334,505,452
4985,573,1513
2297,340,678
2844,305,404
5506,604,452
3756,277,723
2636,460,495
2383,213,618
4548,337,741
5669,650,1168
4087,793,917
1751,264,475
2832,250,787
1971,243,786
2138,368,1004
1968,215,520
2932,395,1457
3968,259,1683
2505,311,1000
2395,591,1059
2966,317,1783
2311,241,1393
2158,213,1089
3053,224,1519
1934,367,578
2906,320,983
3011,358,973
4930,403,837
3773,446,1063
2815,307,686
13626,1127,2798
1869,103,957
1966,246,1208
3163,556,957
1288,129,1073
4014,479,1651
3557,476,1018
3729,222,1921
2579,216,1323
5480,465,591
3171,274,545
4536,311,1053
3924,237,512
1839,286,412
5305,688,531
3980,877,790
4782,481,634
2563,382,258
4813,754,1946
3895,635,634
2219,273,456
4555,378,1600
3423,639,1455
4652,957,1164
9380,1248,1166
5060,317,436
4475,439,707
4543,839,931
2320,528,561
4391,611,409
3261,469,655
5864,563,587
5538,677,2260
3422,322,2834
4371,629,1742
6623,837,910
8931,609,696
4046,370,852
2567,288,185
2007,432,177
3009,437,572
2974,416,960
4875,537,1328
3276,552,386
4776,639,1023
4283,733,517
4785,641,1856
1324,174,332
3474,511,968
3081,676,626
1449,299,595
3595,329,1312
2873,396,1061
2204,261,722
2112,272,783
2390,185,603
4230,413,759
1803,224,537
3977,625,749
2416,219,1090
5872,628,2678
3715,376,1021
2874,263,1520
1969,259,872
3602,345,1569
2387,179,1126
2211,160,1037
1892,434,910
1658,266,887
2854,205,1195
3106,195,943
1839,208,1107
2586,323,857
805,257,354
2620,391,1345
3174,432,856
7535,892,3444
6224,689,2319
8333,899,1969
7889,609,3245
4412,498,1205
3049,233,944
3149,490,452
3374,417,673
5142,531,2922
3286,517,1093
2794,1131,644
2461,1761,587
2562,480,240
11154,1502,1469
4237,604,653
3908,492,927
4196,437,942
3204,464,1325
3615,765,1271
2400,486,476
5028,672,735
1434,286,484
6945,2075,1381
3156,420,1692
3873,810,1086
4246,568,955
4106,625,412
1814,271,207
5185,638,762
6349,747,882
883,1023,167
891,1043,149
3437,541,737
1486,352,260
2651,398,683
2950,1303,1104
5163,505,2728
5160,504,2791
2630,600,1576
3410,480,2088
5324,342,3422
3478,278,1825
4460,369,1603
3877,439,1300
3241,301,1850
5626,394,980
4440,561,1429
3668,387,670
4494,612,741
5963,816,1235
4162,554,794
4776,915,1666
2491,619,386
4736,576,923
2385,357,1081
2708,405,643
5094,834,1455
3188,448,658
2783,1896,481
3539,1024,399
3894,1039,877
7703,1062,961
7466,998,706
5634,967,914
4597,515,538
6929,639,863
3676,346,432
7081,1055,609
6260,814,947
3482,622,1057
2428,696,271
5978,989,667
3696,735,398
6138,785,722
4985,909,529
3812,718,725
4696,1266,549
3646,935,768
2492,418,1003
3928,747,371
1689,217,182
2947,386,143
5626,628,857
3973,514,563
5816,1212,923
4771,1434,685
3091,913,772
3870,1180,1240
1806,292,621
1741,437,658
2603,292,623
1675,364,290
2833,364,1256
2038,365,1146
2781,451,424
1522,277,181
2457,1302,259
5779,1337,1373
3340,404,1597
2037,318,615
1323,946,374
2629,813,896
2395,701,469
5038,1432,1296
1788,882,498
3967,897,886
4288,958,1671
4654,1254,1117
3144,758,1165
4749,1074,1004
1939,456,349
5228,1047,1161
2739,471,947
2441,329,1189
2275,637,546
3517,776,827
2090,366,706
3849,813,938
4503,584,723
1863,873,316
3263,1161,180
2904,809,814
2585,3285,221
3187,453,1453
551,251,91
3553,216,324
3278,744,545
2377,356,406
2251,136,305
7309,838,494
3758,549,1483
1058,254,622
1637,318,942
1905,382,573
3745,873,1005
2031,384,608
3784,391,1239
2400,609,1145
3210,1002,1189
2138,734,801
1014,230,251
1157,204,194
3671,954,2050
4491,718,1980
2360,399,1597
3942,471,1426
1427,529,1539
4767,601,1388
1571,537,167
3484,864,1241
1003,457,242
477,117,189
2243,820,1568
1969,544,707
2688,835,1381
3015,666,1138
1503,461,297
1939,471,965
1078,281,791
1908,321,666
1123,306,258
1246,414,404
999,275,173
3331,569,1053
3071,262,1889
3551,681,953
4016,423,2348
3092,656,1071
2048,1877,307
1380,1125,139
1326,2581,159
1121,738,254
3847,1038,220
2520,284,917
3148,255,1138
2219,393,800
3086,420,1569
1940,1134,373
1843,1086,180
2886,1425,492
1672,680,413
1526,142,1042
2030,406,573
1797,448,935
2266,945,698
3873,919,1186
2562,412,657
3517,467,1221
989,687,60
971,740,141
915,216,235
2311,909,945
1244,527,1002
1829,457,451
3101,704,1107
3812,1935,380
865,541,54
1369,833,163
795,502,62
1215,1206,278
3410,432,1815
3022,796,1634
855,892,371
4218,658,977
3989,955,424
7345,963,1041
845,997,60
4634,440,2037
1083,566,65
3308,621,884
4575,300,1772
3885,252,398
3020,232,1605
2552,477,1480
2167,126,821
7181,880,894
3038,401,1677
2563,382,1593
7781,937,4959
5206,884,3343
1663,628,307
1655,1394,99
3696,232,1743
3686,333,2444
1718,266,878
5667,257,3132
2973,322,1283
3909,328,2056
1037,184,356
2459,440,626
1370,274,441
2372,240,248
2670,265,922
2467,513,763
2752,326,1270
4859,810,1596
4022,640,1279
2589,328,683
5322,1103,730
431,110,12
2754,614,509
2287,734,1058
4607,469,1215
1181,247,429
919,340,452
1229,763,281
1178,314,269
10280,960,1150
5528,635,706
3604,684,382
4751,537,1534
2862,594,562
2801,313,1286
4055,240,889
4974,645,1899
6278,837,1842
3215,806,528
1671,781,833
5933,653,2323
5285,635,1350
7529,1139,581
2841,308,760
7775,1020,1131
7975,1092,1170
10593,944,2756
4894,1119,1044
9436,1137,853
3726,401,649
4976,452,1267
2404,535,608
5511,1341,1808
1938,4758,80
70,67,11
3788,457,1906
1355,585,158
1926,1024,199
1481,818,394
1522,922,280
922,646,224
1917,1293,463
888,828,138
1273,568,246
2104,685,546
1861,661,881
3105,664,818
0,0,0
0,0,0
2971,607,215
2895,534,266
2352,559,144
2778,476,709
2595,318,670
902,206,160
171,423,31
954,422,149
1572,326,221
1989,640,351
2018,379,696
1410,597,317
3439,594,396
4407,1169,336
3540,1379,470
3529,638,805
1996,313,654
1435,322,528
1677,166,652
3126,698,253
2515,465,254
3322,958,183
1309,334,34
2083,348,233
2600,607,742
1921,625,601
3746,798,721
4674,738,542
2413,486,419
1859,468,685
3245,794,1012
2467,373,446
3131,747,1654
2866,843,217
2927,1053,626
1735,554,354
1992,421,286
1682,482,647
2732,603,652
3800,1117,709
2615,675,263
3349,1143,414
4109,1500,586
2663,1204,549
3497,613,743
2824,577,256
4176,753,159
3470,931,429
2430,633,131
2718,440,212
3095,794,856
3265,1049,1039
3117,741,1337
3981,561,791
6321,1055,2261
2184,584,981
3404,547,915
2033,427,772
3111,630,788
4918,732,1802
2876,470,1335
2579,391,645
3306,618,1181
3704,899,1072
3094,608,978
4967,842,1072
4066,1057,901
4762,1080,1338
1874,459,714
4445,1682,2616
3905,1201,985
3110,712,1065
3165,800,1083
2297,488,604
2636,654,263
2950,1076,447
1503,307,268
793,69,190
1922,311,360
1369,802,97
3537,1227,498
3347,525,1245
3308,706,972
1866,336,573
2404,535,367
1104,144,458
2787,417,860
2888,864,830
2007,410,855
3170,580,480
2084,637,104
3885,874,175
3997,1080,360
2500,886,158
1997,565,57
3932,1211,615
1667,180,305
3495,903,553
2944,826,519
3187,678,820
1679,530,265
3271,758,680
2525,663,596
3836,834,1105
2237,781,518
3425,587,1408
2929,524,1369
4334,808,1227
4612,572,1122
6960,627,1664
4543,661,1304
5365,667,2238
2812,795,502
3155,651,878
4593,518,1675
3786,595,1076
2878,337,422
4637,658,809
2495,385,469
2154,207,465
5385,708,1103
3056,709,607
4271,468,462
2197,189,361
3881,443,545
602,151,223
3530,466,700
124,19,17
5666,1364,660
3449,411,813
6508,885,877
5199,618,993
6470,915,933
2757,313,217
2729,714,532
3208,721,832
3144,528,629
2995,487,528
2920,470,808
2659,471,502
3815,446,1012
4349,990,1177
3410,611,832
5362,1414,1447
3998,909,964
2951,456,740
1984,659,367
2888,820,492
2008,514,776
7263,885,841
1778,220,692
3478,455,1051
2615,362,733
1735,442,232
4729,759,1904
2673,410,579
3831,435,952
5533,1138,1143
2500,294,421
4755,387,461
5615,915,1824
4087,624,1203
3449,574,1182
1284,341,244
4688,1220,1010
3446,714,654
4330,1207,696
2765,1181,169
3542,1145,1104
3375,1045,734
3148,854,727
3776,838,378
2989,903,457
2440,751,346
3153,1007,343
3933,1284,426
2032,621,382
3854,711,216
3403,749,421
3562,712,663
4452,1079,777
2503,492,781
1382,437,275
3831,1073,550
3026,800,732
2482,670,401
2830,899,480
3663,727,806
3848,829,824
1587,426,237
2245,618,614
2787,528,450
2979,1057,790
2270,1088,321
1878,479,277
3703,714,496
2706,923,536
1336,470,365
1724,532,227
2057,656,835
2081,511,779
1630,390,314
5035,525,1820
2263,499,536
2781,580,545
1943,467,276
5840,1210,939
3344,890,654
3372,668,344
3824,573,1056
3192,753,568
2996,811,461
2948,730,205
3891,1475,212
2165,363,274
4446,732,467
4199,938,303
1745,344,558
5341,643,248
3872,400,210
1773,263,177
1752,456,293
2945,355,348
6641,633,290
4211,386,173
4024,368,133
3366,449,39
2777,228,109
4932,1742,308
2015,790,43
3383,1014,550
3173,346,285
4488,1043,295
3585,335,711
2747,890,689
3390,964,945
2913,1020,1027
1705,533,156
2174,507,676
1584,389,246
2009,585,472
3219,717,504
2647,542,297
2408,495,547
3501,800,888
1792,448,604
2856,727,1017
3411,590,522
3470,468,224
2373,337,312
2506,409,472
2867,796,411
2272,524,303
2261,871,369
3726,834,600
798,192,453
4244,645,814
2432,517,797
1837,525,558
4202,593,368
3964,1590,444
1683,645,186
5469,897,683
5337,659,725
5093,713,658
4883,871,409
3393,261,858
4706,561,678
1802,372,320
3637,568,1111
3708,634,672
4577,998,510
10310,1741,1570
3669,922,458
2126,548,174
757,160,41
4130,555,320
3637,680,465
1785,230,229
2689,418,705
5997,1146,457
786,327,130
1356,395,360
3550,1085,500
1412,588,241
7274,1550,1208
1314,220,205
1852,323,531
5373,1199,1255
1505,589,749
1347,348,343
4142,1043,1299
4687,993,1240
5609,741,802
4146,590,419
4329,787,839
2456,502,380
3917,752,592
5338,744,1051
6038,1593,886
4532,651,407
2791,534,151
3811,489,447
6177,939,727
5738,1285,465
8329,982,902
5827,794,402
2409,297,693
2736,516,818
4751,988,690
6578,956,336
5536,799,412
2698,945,254
2574,571,442
909,444,216
2797,712,510
25,5,8
3834,640,946
4610,869,719
2821,494,798
3827,811,1511
3957,366,407
5194,550,919
5974,1024,1052
3152,322,644
3888,466,769
2521,766,271
1818,402,359
3819,562,536
4533,596,749
5637,562,424
2408,228,385
4253,393,451
5069,759,988
1863,382,539
8058,1067,2634
6225,149,883
9605,820,959
5697,512,444
3724,411,358
2674,366,1130
2950,584,816
3225,692,1095
3324,550,980
3298,417,952
5819,350,2900
4649,429,2286
4037,538,1607
4612,645,943
3347,486,543
3223,650,665
5273,622,1135
3248,447,1131
3940,530,517
3725,507,1066
3851,456,1458
2403,391,1352
2935,245,1123
2194,442,291
4739,831,729
2820,373,537
2959,416,329
2814,756,287
2812,545,287
3074,889,313
2747,427,329
3827,725,516
3741,714,573
3233,407,145
3022,242,560
4662,721,1489
2941,517,1318
2675,252,1088
3240,297,678
2563,473,1023
3073,377,811
2295,317,836
3515,373,1175
3729,96,2126
2253,134,970
3343,454,805
4007,679,673
3536,456,1040
2982,406,1296
2686,229,1136
3496,508,1716
3098,477,1168
3807,480,1361
3129,221,407
3784,484,923
1704,384,805
2262,156,1202
2120,164,1382
3738,484,1291
3811,348,2229
3463,533,624
4508,491,1052
3770,291,741
4403,453,1553
4248,591,1054
2069,307,477
3994,583,837
3817,425,761
3200,578,882
3515,175,1102
3559,448,1057
2279,295,1675
2421,393,2181
4339,495,490
5749,858,740
5051,394,689
6028,433,1962
7884,1070,1392
3307,366,405
3643,442,630
3670,526,459
3696,578,697
3148,413,785
4517,542,411
4862,454,357
3869,394,489
4284,436,674
10807,1020,770
3955,897,827
3989,679,534
4622,597,749
4121,373,606
5141,432,264
5062,481,635
7021,423,701
12801,570,1577
5168,723,689
8849,943,1747
6613,517,913
4563,481,816
2970,825,765
3091,629,751
3863,567,575
3234,261,1369
3828,168,602
5608,454,1178
3833,482,2233
4949,456,1247
1281,192,492
6571,474,2409
14181,1899,3619
7864,697,1895
3486,344,542
3534,468,1274
6111,461,3314
5287,413,2871
3689,373,2011
5951,291,2417
7250,925,2935
5143,335,1882
3964,402,1147
5364,318,1720
5744,684,1207
4905,354,552
7797,822,1785
3698,736,1039
4871,638,1166
3800,464,1420
2217,246,1569
3514,324,1615
2182,318,1502
4352,635,1775
2025,423,811
2736,664,1669
3408,226,1654
5067,874,2862
2977,561,1650
3819,368,1968
4797,543,2235
3370,324,1244
3067,500,1470
3105,489,1001
3853,383,1336
4549,254,1320
3843,413,1081
3376,302,1841
3335,216,1186
2685,328,1187
3039,304,1011
3354,360,1105
3228,605,1966
3770,432,1190
3855,478,1123
2686,373,1874
2435,360,1156
2661,382,1032
2691,595,839
3077,451,1398
3323,547,1193
3806,457,1750
2774,451,1182
3956,368,2013
3518,439,1790
3847,249,1506
3651,333,1716
3131,428,2279
4620,534,1713
3338,488,1794
3134,499,1791
2933,602,1058
2731,327,1311
3435,449,1837
3478,705,1429
2980,254,369
6101,845,1016
3109,604,994
3938,251,1076
3588,461,782
3876,501,831
5104,526,602
4412,532,811
3676,596,1398
3130,480,1847
2008,341,1039
4357,530,2462
5792,989,1854
2818,461,467
4007,448,1228
4386,599,1826
5943,565,2286
4822,308,1593
1121,603,348
2122,153,995
6778,1346,1564
2591,435,667
3062,443,948
2833,363,1064
3224,610,1103
5735,982,2031
2082,194,1007
3382,198,1043
3857,560,1538
2697,510,1346
4088,551,1191
2620,415,1200
2900,352,1268
4130,468,2038
3614,429,183
2229,286,547
3222,593,583
2624,363,401
1649,122,610
4750,812,992
3857,764,1213
4262,708,2148
6900,1665,854
3210,629,1024
2802,619,1084
4321,534,497
5159,1049,1181
2780,659,846
1931,361,633
2173,548,1307
5220,627,651
3672,785,737
4763,591,2356
3179,584,943
2956,526,599
3543,590,894
7183,846,586
3624,589,534
5976,504,416
5051,730,1165
5124,711,1551
2386,430,565
4219,852,789
4553,955,399
2426,490,156
8088,640,1359
5024,854,491
4748,818,263
1801,342,402
6146,1529,306
4957,420,874
2662,443,443
5859,1088,352
5909,1196,1369
3475,535,769
9223,1647,1812
3286,439,371
2709,719,716
3184,653,998
4388,533,1170
1139,593,476
4649,944,1061
4708,814,849
4200,696,683
12079,1403,3031
6336,864,1264
8296,663,1684
5172,622,1369
3262,428,1686
18784,2222,3091
4195,553,803
3139,828,485
1682,426,340
816,180,267
2443,431,733
5166,1159,626
3976,1758,395
3271,805,769
4467,843,869
5098,580,1520
7016,1488,870
3815,826,1456
5142,979,1066
2298,551,788
6024,1683,743
4693,960,1139
3456,781,455
3189,512,1054
6908,1393,3034
4870,994,1864
3233,520,839
3521,586,732
3245,626,1198
5132,429,1331
3136,1072,618
3058,658,1657
6361,717,783
2527,332,396
4777,566,1230
3313,378,1130
2976,564,1255
5268,1221,1667
3627,304,1386
3984,442,1021
4259,511,1330
11209,1263,2533
5750,622,1486
3508,847,1281
5173,861,1419
4790,911,987
3027,408,530
4510,609,877
3779,599,1162
4511,1048,1794
8468,1989,1360
1914,540,625
2746,2089,0
1338,932,461
1910,587,398
3922,1309,1399
4261,1972,1026
4138,1210,1314
2903,1317,894
1874,1023,359
1880,557,851
2677,1009,606
2667,567,672
3195,1511,693
671,373,141
2426,540,648
874,368,458
2670,708,660
3301,634,837
1713,333,449
2059,420,684
3795,626,499
2305,765,268
1287,231,697
1086,311,337
2411,424,641
1680,334,137
763,289,243
737,204,320
622,261,585
641,251,214
848,339,330
2688,647,855
1884,530,913
2431,637,1009
1213,225,146
5619,1146,682
1067,264,285
5136,598,705
2769,558,520
4419,830,815
3576,1071,513
4063,788,498
2463,619,848
3598,723,1341
1575,194,317
974,232,1240
2309,252,951
2821,211,1617
3429,295,520
5805,414,44
810,194,328
483,460,292
0,0,0
0,0,0
1835,723,126
1721,388,162
3339,377,715
2928,696,600
2502,369,477
2143,321,323
2071,404,403
2751,690,685
2304,530,729
3381,666,1093
3957,328,900
2443,270,732
4047,419,1429
4220,603,1559
2174,318,528
2438,552,821
2897,577,1831
3245,261,879
3706,461,1672
2083,394,519
2442,780,30
2169,250,149
3355,546,977
2053,227,1427
3505,472,1422
2189,252,606
3624,683,2475
3246,315,1216
3377,303,1502
3864,400,1594
4372,642,1223
3674,338,1857
2728,274,1252
3401,521,951
4905,752,1421
3898,601,279
3506,256,1925
3816,475,1901
2185,271,993
2868,360,873
2805,268,267
3331,714,815
2172,316,316
3696,682,923
3514,482,820
4486,715,1099
3092,535,600
5818,610,1438
3002,298,1039
2435,468,1101
3498,713,1313
2936,613,1868
2124,687,1161
4626,899,1598
2779,556,1083
4303,1114,769
2373,506,692
2278,660,421
4010,713,1969
2429,818,798
3264,782,1212
2436,740,424
4624,1193,987
3335,697,953
3494,602,964
2501,469,570
3928,1308,1810
4258,1037,1488
3969,842,748
2326,475,492
2932,769,442
2349,1030,563
3605,535,888
1897,253,1110
2612,197,1620
2777,320,1029
3963,499,1347
4029,722,1284
2408,445,1305
3383,352,1316
3096,227,1073
2907,261,1810
1768,128,1143
1961,121,1432
2463,151,1985
81,0,0
2370,240,1800
2206,180,2556
2649,350,2308
3969,425,2154
4399,589,907
2932,410,326
2975,219,723
1765,185,1003
1391,117,319
1052,159,660
2104,302,1304
2670,347,2219
1403,63,1087
4208,755,1789
3683,574,857
2196,682,763
4944,1529,655
0,0,0
2704,664,276
908,282,511
2197,235,307
1566,306,535
2497,760,414
1401,293,659
0,0,0
48,0,0
1704,581,488
1247,295,78
1641,360,368
3549,736,999
4037,743,591
2316,632,146
3265,954,455
4807,862,309
3312,303,579
1609,418,74
4542,880,1135
2671,129,862
2129,153,483
3081,597,509
3128,752,280
2376,438,785
3378,1067,1280
3230,604,768
1364,526,319
2264,256,531
2226,332,297
2424,161,287
1927,392,168
2647,466,320
3319,501,302
2745,590,326
2648,430,130
1587,902,123
1631,1000,117
2187,942,103
2486,371,445
2326,663,275
2669,801,278
3640,1691,291
2367,526,85
2777,765,64
1560,450,83
4928,1647,321
4974,643,273
4751,457,165
5505,506,607
4530,559,498
2219,158,91
13175,656,588
9821,916,573
1863,280,91
3520,629,293
1675,180,393
6910,937,444
5227,1401,757
4292,345,561
2568,577,164
2494,1050,184
4324,611,214
5110,798,582
4302,695,546
2685,557,224
4981,716,570
3273,686,512
2687,556,695
4090,702,418
5214,733,437
2852,501,579
3171,532,242
3539,699,631
5515,1435,693
2909,384,795
4643,851,800
2267,178,223
2768,279,228
4177,576,402
4123,406,583
2426,398,213
4990,673,451
3719,976,829
4525,713,921
4750,847,1206
3776,960,730
4285,809,1101
3084,484,970
5350,1482,1148
5013,1310,1091
4658,1209,1003
1963,582,384
2995,852,371
2312,446,307
4287,512,2291
2192,530,251
3014,585,590
4337,1201,1252
3368,570,943
1662,354,76
2781,382,845
3949,1110,582
2120,310,1087
2430,693,294
2058,620,210
3700,412,377
2664,648,767
3397,1245,343
3447,700,285
3648,538,645
5865,769,993
3540,466,440
4359,626,695
1128,428,8
2869,586,366
5556,503,414
5312,1029,368
3309,503,224
2537,795,254
2708,400,273
3206,584,119
3226,283,131
2614,604,410
3271,545,913
2637,445,260
2356,619,388
4249,1195,465
2421,698,175
4824,1547,392
3472,957,151
4500,916,883
3402,877,336
3996,749,610
22,0,0
0,0,0
2481,530,541
4240,992,1072
2779,911,859
4640,1089,2150
4583,397,1801
3462,1118,1354
2504,529,906
3105,767,1086
3772,694,1864
11319,1604,3072
1926,221,476
4357,720,2000
2034,542,659
3461,998,1403
4342,969,1599
2860,669,780
5161,1118,1617
1724,454,1036
3141,362,1474
4523,1309,604
2637,848,962
1651,202,425
4057,653,1184
1061,281,189
3512,612,1517
2058,555,98
1762,731,165
1182,610,184
2058,732,158
2881,895,246
86,18,0
3471,431,2002
1903,325,1085
3498,898,1793
2044,392,1373
4245,418,2622
3282,925,1322
1944,830,891
2060,407,911
1556,282,707
2282,302,1159
1964,371,1082
1076,371,313
1718,760,885
2423,577,369
2298,462,838
3718,657,820
1625,408,950
2491,379,1150
3086,504,932
2992,750,1282
2596,628,621
2385,450,419
4284,844,905
4191,713,1453
1593,368,556
3576,643,1489
4485,788,1722
2534,578,1273
1437,261,584
4282,1113,1908
3940,770,808
3217,734,780
3804,831,912
3107,573,673
2679,468,1124
2564,315,1054
5452,1027,976
20383,2814,3560
8163,934,740
2157,288,547
8625,1493,903
11886,2476,1873
2960,874,523
3551,1009,808
5318,1569,444
3872,934,518
3720,805,496
5075,1451,1283
1116,335,106
2654,691,432
1701,335,105
4779,679,954
6535,1098,465
2692,728,545
3582,528,779
3709,1090,709
2662,565,463
3570,678,464
2824,849,759
3387,1039,708
4670,707,681
5119,1011,247
4435,1505,641
1573,353,242
4000,368,1389
3526,671,695
2239,275,406
3062,834,494
2876,497,463
3380,438,1067
2710,401,1027
2568,545,846
2814,501,791
3782,403,938
3259,563,887
2872,486,654
2168,757,727
4062,632,1182
2308,437,843
2255,434,587
2471,542,631
3371,736,848
3096,817,682
6291,982,983
2984,829,651
2764,734,405
3087,595,685
1556,193,385
3054,703,700
2417,516,353
4420,857,1179
3887,655,540
3006,681,158
2168,316,702
2342,1005,363
1846,552,200
5751,1123,1271
4562,794,764
1805,376,412
3654,936,778
2092,215,387
4835,774,706
1932,474,195
4435,559,1359
4099,943,2036
3576,417,704
2695,328,783
2721,612,1000
2459,229,981
3523,437,1125
1774,262,396
4451,953,900
4008,1114,432
1809,305,885
3563,480,1074
3502,491,1215
3718,891,464
4559,1149,1901
5446,760,1182
2073,376,384
4028,955,1372
5371,1228,558
2932,590,378
3927,1421,425
2206,350,130
4074,724,346
3092,488,528
4810,659,459
1456,248,290
3619,354,213
1785,273,219
3027,424,692
2191,643,392
7356,1135,1324
4489,1033,1087
4843,1993,802
5285,913,1255
2901,534,781
4788,1499,746
3378,912,524
2300,381,285
3040,614,201
5039,855,638
1748,451,579
2094,433,107
3217,570,370
2336,320,224
1003,1248,53
5941,1604,458
2891,537,772
3701,2059,337
2849,539,239
2325,323,122
4395,917,225
6893,1478,292
15840,2387,411
3593,386,236
11253,832,1291
3769,637,434
3969,606,460
2359,313,189
2750,523,269
4447,726,432
6248,614,434
3501,772,326
5311,808,274
7096,358,474
5143,606,178
4972,399,273
2303,332,98
3128,510,125
3282,459,149
5652,583,842
2245,491,332
2167,505,234
3360,1016,421
3936,515,389
2757,414,93
4514,1059,127
4317,559,341
3477,268,185
2878,447,607
3713,709,326
2292,373,96
3562,688,515
6314,277,285
9443,1021,769
2934,820,488
2287,332,306
4104,949,1167
1944,565,221
2208,482,24
4990,461,371
3725,1144,389
5245,844,753
2584,267,295
2207,341,878
3507,1528,316
1853,325,178
5017,883,783
3809,564,805
2186,223,510
4767,722,895
4643,1112,177
1634,394,248
3566,1040,248
6413,669,316
3182,932,237
3771,1065,1619
2045,488,572
4367,807,987
5260,490,2110
1511,293,445
2128,366,652
4876,1186,1209
6993,1011,1202
3061,467,1491
1969,451,773
2658,392,1186
1543,1219,600
6565,951,635
6094,1137,752
3445,926,312
2448,442,881
3311,764,605
2151,388,577
4022,453,1226
3566,568,861
3108,1092,1857
2104,580,526
4047,714,1251
5333,815,1522
5155,1458,686
2472,456,463
2620,321,307
3810,1406,1109
15097,2768,101
2622,850,452
5230,2298,993
3170,906,408
2826,627,1094
4100,660,1485
4136,771,1415
4077,837,1031
4247,1604,1227
783,256,313
4821,820,1264
4222,874,588
4279,1257,1005
5905,979,2096
1208,306,356
1929,370,309
4153,607,1629
3224,301,1960
5205,1025,1965
2481,435,402
5211,877,708
5130,1192,639
4983,802,1739
4094,397,1479
2274,132,911
2712,308,676
3598,527,976
2064,81,1258
3072,236,2374
3262,261,1419
4088,729,1033
3876,455,855
3337,933,1132
3685,422,905
3286,438,648
3844,660,215
2429,688,1072
9444,1321,1109
2642,1650,64
2845,597,630
2397,451,1061
3239,409,705
4823,1036,649
3211,625,381
10596,1849,1297
5181,1153,918
3077,629,312
8133,940,350
2227,284,879
5075,432,3149
4358,1369,1403
5788,615,1093
4388,370,1656
5874,860,901
3052,437,748
2782,667,752
3801,449,600
3228,718,288
11934,1710,680
2248,145,1325
2697,662,1517
8205,1341,1418
3190,499,423
2982,281,627
3011,501,684
3701,289,1862
3524,392,1683
3306,282,2431
3292,400,1763
2888,265,1748
1478,228,954
2981,645,1555
3744,490,1305
5220,513,1435
1825,230,1920
2769,273,2087
4264,1022,543
3832,1119,1371
6838,1128,1060
5771,880,1161
3260,765,1316
2994,215,966
1748,497,224
3136,423,606
3240,690,851
2517,487,183
2490,563,1649
2988,367,2167
3484,551,2227
3170,740,660
5074,961,331
2459,479,1095
2730,413,373
6818,709,580
1216,300,97
3634,824,559
2302,759,503
4364,754,766
1648,369,342
5092,486,2544
4060,669,377
4205,1050,289
1415,256,241
1176,574,637
1597,477,419
1883,914,530
4436,1090,1310
1843,401,609
3956,1058,393
5517,1200,735
1748,707,220
3397,637,780
6946,1142,590
1930,335,278
4244,892,658
8222,767,176
1861,535,47
1590,740,154
1215,143,474
2820,399,1054
7299,837,663
0,0,0
2708,719,400
3356,640,224
3324,731,291
4385,467,413
1884,570,152
2475,631,545
3406,1207,698
3551,690,538
3832,747,161
4352,531,420
3524,668,762
2296,539,243
2119,754,185
965,253,329
1052,331,357
1852,421,270
2036,319,270
2168,506,889
2739,464,673
3030,682,864
2047,391,641
977,583,230
1603,392,523
2560,770,1283
2675,462,256
2191,1033,311
1883,1408,688
2055,339,105
2673,260,168
3177,460,121
4070,724,114
2286,185,93
2914,366,132
3781,637,130
3287,289,215
2054,562,76
3905,739,51
3521,646,285
3165,710,44
2117,364,111
1513,477,81
3043,539,188
1649,202,64
4924,727,268
2492,1064,312
2565,368,82
6496,933,755
2842,480,351
