One_Health_Ins_ACS_10_14,Two_Plus_Health_Ins_ACS_10_14,No_Health_Ins_ACS_10_14
748,187,267
2312,1484,374
921,373,384
3118,1215,400
1143,486,201
3100,1086,496
2945,649,441
2555,1329,473
2745,1601,513
1661,756,257
2691,784,519
3076,407,622
3561,976,1305
2886,701,868
2074,815,479
2989,710,695
1789,170,404
5053,1123,1003
2900,499,392
3030,310,625
2574,532,382
2477,388,531
2993,630,721
3412,659,948
3630,903,1089
1922,396,127
4458,873,958
4092,1218,374
2964,747,1232
2529,607,839
2133,439,596
2486,680,1004
4075,1032,439
4139,595,796
3482,733,676
2904,1727,624
1591,823,524
2204,861,311
3123,1792,776
1983,1060,422
3494,1454,701
2826,1140,631
2154,1693,544
3025,1538,503
2853,1047,1148
3214,649,624
1478,723,234
2125,1014,407
3432,1137,687
2779,546,839
2107,757,323
2512,728,409
2444,591,466
2967,1139,318
2511,957,544
2699,996,816
2054,434,466
2133,598,337
2624,803,1061
2192,647,551
2752,1373,787
3641,1057,515
2409,1344,537
2597,1035,372
6719,2325,1048
3755,1372,551
3766,1421,831
2219,1029,396
2017,938,535
1015,504,79
230,211,13
3443,678,1089
3296,1045,831
3873,736,1419
1408,510,365
1368,512,647
2265,1024,735
4609,958,1145
3108,401,477
4643,686,659
6640,913,1295
4999,645,787
8455,977,964
6526,719,1002
7983,1558,1187
8683,1263,699
6309,628,357
7411,1079,379
3554,908,486
5112,2541,254
3367,515,138
790,264,218
2819,775,319
3111,649,309
6005,472,561
4318,778,1237
1857,689,374
3724,542,859
2079,555,373
2934,1073,351
3660,517,962
2493,392,492
2715,466,853
2862,706,558
4112,912,1424
4375,1515,800
3467,561,292
2294,446,358
4243,558,1365
3819,596,883
1366,447,436
5035,1373,1188
2677,636,391
5882,1278,873
2215,340,614
3984,704,728
1288,272,535
3758,804,1520
4098,446,1127
4486,578,848
4991,920,1359
4195,535,1792
2518,282,294
530,95,163
1861,248,307
2244,517,276
5681,966,848
2946,437,727
2771,237,118
5225,765,377
4635,1220,641
5590,985,185
3342,744,152
4235,522,700
4536,1521,405
3781,653,343
4051,1065,275
3272,936,745
4018,988,492
2551,827,86
4547,1097,1817
1353,621,399
4764,986,1084
4057,798,934
5710,1212,638
5957,1432,696
2659,849,443
2624,737,317
4036,1422,418
3054,571,328
4616,1269,1332
3757,753,188
5750,1449,235
2364,675,282
3076,311,1673
4571,565,2361
2924,454,728
3592,204,2257
2772,398,232
5582,954,985
4340,996,292
3319,755,679
3019,554,144
2616,696,133
3701,649,450
4489,1136,442
2025,746,201
4588,1353,159
2402,398,571
4606,949,511
4328,677,716
5465,1196,530
3667,825,617
3630,649,656
3444,1001,138
3144,702,187
4367,776,396
3198,475,160
3287,1273,271
5214,1284,205
6030,803,324
4491,504,460
5872,614,293
3666,578,91
4726,1557,234
4884,690,249
2510,307,80
6942,1030,331
5074,1183,98
3140,601,70
2836,592,75
4580,825,55
5384,1462,372
3011,667,54
6415,1047,98
4974,1119,158
3506,1016,141
3893,874,218
5110,787,381
524,1897,48
1268,2223,62
393,1567,2
4725,993,64
2272,590,551
4783,910,70
4578,987,195
1706,540,221
3081,562,83
3228,756,231
1558,299,47
4898,1263,140
3843,745,488
11392,1426,1018
5856,1110,1000
3125,245,553
5589,679,569
3712,1187,67
3897,699,68
9474,1292,239
4126,377,824
6453,379,114
6564,506,61
6329,618,934
6578,885,426
2750,708,140
6112,1478,364
3823,1042,98
2972,733,500
4478,826,287
2514,552,284
4187,767,759
3700,1167,917
3676,742,439
1415,174,286
3589,563,390
4186,1472,313
5392,1260,536
3687,687,407
3637,982,655
3177,891,320
3566,640,632
3571,587,533
1844,702,423
5236,1169,707
3336,840,1079
3537,720,1768
3290,525,1149
3211,492,783
3727,479,1726
3479,771,658
3777,696,651
3375,396,1387
2069,161,781
4386,920,1496
1769,335,397
1898,481,363
4214,631,849
4759,705,1937
2581,347,695
3240,467,935
3045,329,1450
3171,1053,1744
5032,598,1169
1993,775,323
3829,605,1745
4456,743,699
4556,796,1744
4444,933,1594
3531,617,879
2928,757,135
1959,603,106
1016,212,37
2178,522,742
2035,402,315
2166,295,445
1563,272,235
1116,130,334
1626,480,138
1170,446,71
1920,557,98
2132,530,56
7360,1422,1804
2238,485,177
